occ,title,lost,wage,neighbours,absent,exposed,shrinking,pays_less,viable
43-4051,Customer Service Representatives,3950.0,44520.0,23,13,7,6,4,1
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",2280.0,53580.0,19,10,5,4,5,2
43-4171,Receptionists and Information Clerks,1340.0,36750.0,23,12,7,5,2,3
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1290.0,48460.0,17,6,6,6,4,2
43-4111,"Interviewers, Except Eligibility and Loan",770.0,49870.0,10,3,5,4,5,1
41-1011,First-Line Supervisors of Retail Sales Workers,710.0,54000.0,15,5,3,5,5,2
13-2052,Personal Financial Advisors,530.0,158910.0,17,8,6,4,8,0
23-2011,Paralegals and Legal Assistants,400.0,67940.0,13,5,4,4,5,2
29-2072,Medical Records Specialists,390.0,56530.0,15,6,4,3,4,2
13-1071,Human Resources Specialists,340.0,83110.0,12,5,2,4,4,1
15-1232,Computer User Support Specialists,340.0,64990.0,11,2,9,6,0,0
15-2031,Operations Research Analysts,280.0,105800.0,12,5,7,4,3,0
27-1024,Graphic Designers,240.0,70860.0,13,11,1,2,1,0
15-1231,Computer Network Support Specialists,230.0,71400.0,8,0,8,6,1,0
15-1252,Software Developers,210.0,139340.0,22,10,12,10,11,0
15-1211,Computer Systems Analysts,170.0,113840.0,30,11,14,11,12,2
43-9021,Data Entry Keyers,110.0,41270.0,12,6,2,2,0,3
29-9021,Health Information Technologists and Medical Registrars,90.0,65060.0,13,5,5,4,2,1
15-1253,Software Quality Assurance Analysts and Testers,80.0,111510.0,10,5,4,3,2,0
25-1071,"Health Specialties Teachers, Postsecondary",50.0,130720.0,12,10,0,0,1,1
27-3091,Interpreters and Translators,40.0,72950.0,10,7,2,0,2,1
15-1242,Database Administrators,40.0,102460.0,17,7,10,7,3,0
27-3042,Technical Writers,40.0,84420.0,10,7,3,1,0,0
41-3031,"Securities, Commodities, and Financial Services Sales Agents",20.0,107070.0,19,10,7,5,6,0
13-2054,Financial Risk Specialists,20.0,119620.0,15,4,8,5,7,1
25-4012,Curators,20.0,74460.0,11,10,1,0,1,0
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",10.0,65160.0,19,11,2,2,6,1
15-1244,Network and Computer Systems Administrators,10.0,103730.0,10,1,9,7,3,0
25-1011,"Business Teachers, Postsecondary",10.0,115140.0,14,12,2,1,2,0
25-1042,"Biological Science Teachers, Postsecondary",10.0,92030.0,11,10,1,1,0,0
19-4061,Social Science Research Assistants,10.0,58490.0,15,12,3,1,0,0
41-3021,Insurance Sales Agents,10.0,77940.0,14,6,5,5,2,2
25-1066,"Psychology Teachers, Postsecondary",10.0,87440.0,13,12,1,1,0,0
