OCC_CODE,OCC_TITLE,emp
11-2033,Fundraising Managers,110.0
11-9039,"Education Administrators, All Other",230.0
11-9072,"Entertainment and Recreation Managers, Except Gambling",50.0
13-1020,Buyers and Purchasing Agents,4000.0
13-1082,Project Management Specialists,6380.0
13-2020,Property Appraisers and Assessors,290.0
13-2041,Credit Analysts,
15-1254,Web Developers,
17-2031,Bioengineers and Biomedical Engineers,
17-3019,"Drafters, All Other",30.0
17-3027,Mechanical Engineering Technologists and Technicians,
17-3028,Calibration Technologists and Technicians,40.0
19-1099,"Life Scientists, All Other",210.0
19-3091,Anthropologists and Archeologists,
21-1013,Marriage and Family Therapists,
21-1015,Rehabilitation Counselors,
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",4150.0
21-1019,"Counselors, All Other",
21-1029,"Social Workers, All Other",230.0
21-1094,Community Health Workers,
21-1099,"Community and Social Service Specialists, All Other",1160.0
23-2099,"Legal Support Workers, All Other",330.0
25-1112,"Law Teachers, Postsecondary",
25-1199,"Postsecondary Teachers, All Other",180.0
25-2052,"Special Education Teachers, Kindergarten and Elementary School",910.0
25-3031,"Substitute Teachers, Short-Term",4160.0
25-3099,"Teachers and Instructors, All Other",610.0
25-9045,"Teaching Assistants, Except Postsecondary",3770.0
25-9099,"Educational Instruction and Library Workers, All Other",480.0
27-2023,"Umpires, Referees, and Other Sports Officials",
27-2042,Musicians and Singers,
27-4015,Lighting Technicians,30.0
29-1022,Oral and Maxillofacial Surgeons,
29-1151,Nurse Anesthetists,
29-1181,Audiologists,
29-1212,Cardiologists,120.0
29-1222,"Physicians, Pathologists",
29-1249,"Surgeons, All Other",
29-2010,Clinical Laboratory Technologists and Technicians,
29-2042,Emergency Medical Technicians,
29-2043,Paramedics,
31-1120,Home Health and Personal Care Aides,11570.0
31-9094,Medical Transcriptionists,
33-1091,First-Line Supervisors of Security Workers,240.0
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",
33-9094,School Bus Monitors,270.0
35-2019,"Cooks, All Other",50.0
35-9099,"Food Preparation and Serving Related Workers, All Other",210.0
39-5093,Shampooers,
39-7010,Tour and Travel Guides,220.0
39-9099,"Personal Care and Service Workers, All Other",140.0
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",5710.0
41-9021,Real Estate Brokers,
41-9022,Real Estate Sales Agents,
41-9031,Sales Engineers,
41-9099,"Sales and Related Workers, All Other",160.0
43-3099,"Financial Clerks, All Other",270.0
43-4011,Brokerage Clerks,
43-4199,"Information and Record Clerks, All Other",880.0
43-9199,"Office and Administrative Support Workers, All Other",1190.0
47-2221,Structural Iron and Steel Workers,
47-3019,"Helpers, Construction Trades, All Other",140.0
47-4090,Miscellaneous Construction and Related Workers,120.0
49-9069,"Precision Instrument and Equipment Repairers, All Other",
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",530.0
51-2090,Miscellaneous Assemblers and Fabricators,2970.0
51-3099,"Food Processing Workers, All Other",100.0
51-6021,"Pressers, Textile, Garment, and Related Materials",
51-6052,"Tailors, Dressmakers, and Custom Sewers",
51-9199,"Production Workers, All Other",730.0
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",2830.0
53-3099,"Motor Vehicle Operators, All Other",120.0
53-6031,Automotive and Watercraft Service Attendants,
53-6032,Aircraft Service Attendants,50.0
53-7199,"Material Moving Workers, All Other",50.0
