occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g,annual_mean,delta,nat_23,nat_25,rva_pct,us_pct,excess,counterfactual,excess_jobs
15-1232,Computer User Support Specialists,2690.0,0.92,0.4685,2520.0,0.85,2350.0,0.77,-12.639405204460967,15,64990.0,-340.0,689700,717190.0,-12.639405204460964,3.9857909235899713,-16.625196128050934,2797.21777584457,-447.21777584457004
15-2031,Operations Research Analysts,1300.0,2.59,0.4288,1070.0,2.34,1020.0,2.22,-21.53846153846154,15,105800.0,-280.0,117880,108510.0,-21.53846153846154,-7.948761452324393,-13.589700086137146,1196.666101119783,-176.66610111978298
25-1071,"Health Specialties Teachers, Postsecondary",1480.0,1.54,0.3045,1460.0,1.51,1430.0,1.53,-3.3783783783783785,25,130720.0,-50.0,225360,221270.0,-3.378378378378377,-1.814873979410725,-1.5635043989676523,1453.1398651047214,-23.139865104721366
25-4012,Curators,100.0,1.84,0.4123,90.0,1.75,80.0,1.47,-20.0,25,74460.0,-20.0,12510,12150.0,-19.999999999999996,-2.877697841726623,-17.122302158273374,97.12230215827337,-17.12230215827337
27-1024,Graphic Designers,1000.0,1.11,0.3672,960.0,1.06,760.0,0.9,-24.0,27,70860.0,-240.0,212720,197830.0,-24.0,-6.999811959383228,-17.00018804061677,930.0018804061677,-170.00188040616774
27-3042,Technical Writers,220.0,1.09,0.4747,190.0,0.8,180.0,0.91,-18.181818181818183,27,84420.0,-40.0,47970,45500.0,-18.181818181818176,-5.1490514905149,-13.032766691303276,208.6720867208672,-28.672086720867213
29-9021,Health Information Technologists and Medical Registrars,200.0,1.39,0.3063,130.0,0.79,110.0,0.7,-45.0,29,65060.0,-90.0,34430,38100.0,-44.99999999999999,10.659308742375838,-55.65930874237583,221.31861748475168,-111.31861748475168
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",7170.0,1.12,0.3104,6420.0,1.04,4890.0,0.84,-31.79916317991632,43,53580.0,-2280.0,1501910,1373680.0,-31.799163179916324,-8.537795207435861,-23.261367972480464,6557.840083626848,-1667.8400836268484
43-4051,Customer Service Representatives,14910.0,1.22,0.7011,11870.0,1.03,10960.0,0.99,-26.492287055667337,43,44520.0,-3950.0,2858710,2595750.0,-26.49228705566734,-9.198554592805841,-17.2937324628615,13538.49551021265,-2578.4955102126496
43-4111,"Interviewers, Except Eligibility and Loan",1000.0,1.47,0.3851,460.0,0.69,230.0,0.37,-77.0,43,49870.0,-770.0,160550,148060.0,-77.0,-7.779507941451258,-69.22049205854874,922.2049205854875,-692.2049205854875
43-4171,Receptionists and Information Clerks,4890.0,1.14,0.4338,4200.0,1.03,3550.0,0.92,-27.402862985685072,43,36750.0,-1340.0,1003820,910180.0,-27.402862985685072,-9.328365643242808,-18.074497342442264,4433.842920045427,-883.8429200454266
43-9021,Data Entry Keyers,590.0,0.89,0.6707,530.0,0.92,480.0,0.89,-18.64406779661017,43,41270.0,-110.0,154230,127080.0,-18.644067796610166,-17.603579070219798,-1.0404887263903682,486.13888348570316,-6.138883485703161
