occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,emp_24,lq_23,chg,pct,family,replacement
11-1021,General and Operations Managers,15770.0,1.06,134880.0,General and Operations Managers,0.1378,3503020,134940.0,Management,2173.106,2127057600.0,13680.0,14720.0,0.91,2090.0,15.277777777777779,Management,228.25284550622663
29-1141,Registered Nurses,15700.0,1.09,92010.0,Registered Nurses,0.0595,3379720,101420.0,Healthcare Practitioners,934.15,1444557000.0,13740.0,15440.0,1.01,1960.0,14.264919941775837,Healthcare Practitioners,155.70539972588904
53-3032,Heavy and Tractor-Trailer Truck Drivers,11760.0,1.34,60130.0,Heavy and Tractor-Trailer Truck Drivers,0.0,2062040,59710.0,Transportation & Material Moving,0.0,707128800.0,10570.0,13080.0,1.21,1190.0,11.258278145695364,Transportation & Material Moving,101.75595789063914
43-5071,"Shipping, Receiving, and Inventory Clerks",4420.0,1.28,45020.0,"Shipping, Receiving, and Inventory Clerks",0.0,816870,46810.0,Office & Administrative Support,0.0,198988400.0,3260.0,3850.0,0.91,1160.0,35.58282208588957,Office & Administrative Support,76.18581779871235
35-3023,Fast Food and Counter Workers,17100.0,1.04,31080.0,Fast Food and Counter Workers,0.0,3854050,32150.0,Food Preparation & Serving,0.0,531468000.0,16180.0,16920.0,1.03,920.0,5.686032138442521,Food Preparation & Serving,52.59562899120347
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9270.0,0.99,35220.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.0,2209760,38760.0,Building & Grounds,0.0,326489400.0,8500.0,9630.0,0.92,770.0,9.058823529411764,Building & Grounds,59.60161045914369
51-3011,Bakers,1450.0,1.44,34700.0,Bakers,0.0,236200,38480.0,Production,0.0,50315000.0,750.0,930.0,0.79,700.0,93.33333333333333,Production,58.721632110513525
25-2011,"Preschool Teachers, Except Special Education",2060.0,1.01,38980.0,"Preschool Teachers, Except Special Education",0.0,478780,43030.0,Education & Library,0.0,80298800.0,1390.0,1900.0,0.76,670.0,48.201438848920866,Education & Library,65.96453082616188
13-1041,Compliance Officers,2910.0,1.64,81370.0,Compliance Officers,0.1211,417070,88400.0,Business & Financial,352.401,236786700.0,2250.0,2490.0,1.37,660.0,29.333333333333332,Business & Financial,137.69968890007164
31-9092,Medical Assistants,3210.0,0.92,43060.0,Medical Assistants,0.0476,817870,46120.0,Healthcare Support,152.79600000000002,138222600.0,2560.0,2740.0,0.79,650.0,25.390625,Healthcare Support,72.86897633079862
13-1031,"Claims Adjusters, Examiners, and Investigators",1790.0,1.3,79920.0,"Claims Adjusters, Examiners, and Investigators",0.0818,324230,80470.0,Business & Financial,146.422,143056800.0,1210.0,1560.0,0.97,580.0,47.93388429752066,Business & Financial,135.24590312023747
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1790.0,0.78,33680.0,Dining Room and Cafeteria Attendants and Bartender Helpers,0.0,542750,34230.0,Food Preparation & Serving,0.0,60287200.0,1210.0,1370.0,0.59,580.0,47.93388429752066,Food Preparation & Serving,56.995520734354336
47-2031,Carpenters,3070.0,1.08,53520.0,Carpenters,0.0,670090,65630.0,Construction & Extraction,0.0,164306400.0,2580.0,2910.0,0.87,490.0,18.992248062015506,Construction & Extraction,90.57007926670558
35-9021,Dishwashers,1980.0,0.98,32710.0,Dishwashers,0.0,477450,34310.0,Food Preparation & Serving,0.0,64765800.0,1550.0,1800.0,0.78,430.0,27.741935483870968,Food Preparation & Serving,55.35402266094805
49-9099,"Installation, Maintenance, and Repair Workers, All Other",1000.0,1.34,48340.0,"Installation, Maintenance, and Repair Workers, All Other",0.0,176300,53850.0,Installation & Repair,0.0,48340000.0,580.0,930.0,0.77,420.0,72.41379310344827,Installation & Repair,81.80414110150501
47-2152,"Plumbers, Pipefitters, and Steamfitters",2340.0,1.18,60940.0,"Plumbers, Pipefitters, and Steamfitters",0.0116,465840,72170.0,Construction & Extraction,27.144,142599600.0,1940.0,2060.0,1.04,400.0,20.61855670103093,Construction & Extraction,103.12669339523615
35-2014,"Cooks, Restaurant",6160.0,1.03,37100.0,"Cooks, Restaurant",0.0116,1409890,38730.0,Food Preparation & Serving,71.45599999999999,228536000.0,5760.0,6210.0,0.96,400.0,6.944444444444445,Food Preparation & Serving,62.78307064265279
33-3051,Police and Sheriff's Patrol Officers,3410.0,1.2,69660.0,Police and Sheriff's Patrol Officers,0.1234,670520,79200.0,Protective Service,420.794,237540600.0,3010.0,3240.0,1.09,400.0,13.289036544850498,Protective Service,117.88325339534214
53-7081,Refuse and Recyclable Material Collectors,730.0,1.17,47760.0,Refuse and Recyclable Material Collectors,0.0,147240,52820.0,Transportation & Material Moving,0.0,34864800.0,350.0,590.0,0.61,380.0,108.57142857142857,Transportation & Material Moving,80.82262678957134
43-4031,"Court, Municipal, and License Clerks",860.0,1.12,46500.0,"Court, Municipal, and License Clerks",0.102,179750,52320.0,Office & Administrative Support,87.72,39990000.0,530.0,840.0,0.78,330.0,62.264150943396224,Office & Administrative Support,78.69037156019823
51-9011,Chemical Equipment Operators and Tenders,760.0,1.29,62590.0,Chemical Equipment Operators and Tenders,0.0,139630,60710.0,Production,0.0,47568400.0,450.0,720.0,0.87,310.0,68.88888888888889,Production,105.91893238608188
47-4011,Construction and Building Inspectors,1140.0,1.83,75950.0,Construction and Building Inspectors,0.0481,146720,77730.0,Construction & Extraction,54.834,86583000.0,830.0,850.0,1.46,310.0,37.34939759036145,Construction & Extraction,128.5276068816571
11-9199,"Managers, All Other",2060.0,0.78,160240.0,"Managers, All Other",0.0686,622190,153890.0,Management,141.31599999999997,330094400.0,1760.0,1960.0,0.7,300.0,17.045454545454547,Management,271.1687126624982
39-9011,Childcare Workers,2610.0,1.19,33240.0,Childcare Workers,0.0122,518910,35030.0,Personal Care & Service,31.842,86756400.0,2330.0,2630.0,1.1,280.0,12.017167381974248,Personal Care & Service,56.250923670128806
29-1021,"Dentists, General",650.0,1.23,212020.0,"Dentists, General",0.0309,124390,191350.0,Healthcare Practitioners,20.085,137813000.0,370.0,460.0,0.72,280.0,75.67567567567568,Healthcare Practitioners,358.7942489934028
13-2053,Insurance Underwriters,950.0,2.11,92670.0,Insurance Underwriters,0.0625,105420,93700.0,Business & Financial,59.375,88036500.0,700.0,970.0,1.61,250.0,35.714285714285715,Business & Financial,156.82229532222732
35-3011,Bartenders,2110.0,0.66,51750.0,Bartenders,0.0,756390,40790.0,Food Preparation & Serving,0.0,109192500.0,1860.0,2640.0,0.61,250.0,13.440860215053764,Food Preparation & Serving,87.57476834925288
29-2034,Radiologic Technologists and Technicians,1130.0,1.16,81670.0,Radiologic Technologists and Technicians,0.0,230490,83840.0,Healthcare Practitioners,0.0,92287100.0,890.0,1100.0,0.95,240.0,26.96629213483146,Healthcare Practitioners,138.20736871658903
29-1127,Speech-Language Pathologists,770.0,0.98,97870.0,Speech-Language Pathologists,0.0,183390,98170.0,Healthcare Practitioners,0.0,75359900.0,530.0,720.0,0.72,240.0,45.283018867924525,Healthcare Practitioners,165.62207880852907
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2700.0,1.55,58490.0,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0191,409670,64780.0,Installation & Repair,51.57,157923000.0,2460.0,2430.0,1.45,240.0,9.75609756097561,Installation & Repair,98.98064156034397
41-2022,Parts Salespersons,1320.0,1.15,43780.0,Parts Salespersons,0.0,270070,43830.0,Sales,0.0,57789600.0,1090.0,1310.0,0.98,230.0,21.10091743119266,Sales,74.0874078904404
25-3021,Self-Enrichment Teachers,1440.0,1.02,52960.0,Self-Enrichment Teachers,0.0662,332110,54740.0,Education & Library,95.328,76262400.0,1210.0,1230.0,1.04,230.0,19.00826446280992,Education & Library,89.6224102758731
