occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,emp_24,lq_23,chg,pct,family,wage_bill_lost
43-4051,Customer Service Representatives,10960.0,0.99,44520.0,Customer Service Representatives,0.7011,2595750,46590.0,Office & Administrative Support,7684.056,487939200.0,14910.0,11870.0,1.22,-3950.0,-26.492287055667337,Office & Administrative Support,175854000.0
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4940.0,0.68,48460.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,1706790,49350.0,Office & Administrative Support,2236.832,239392400.0,6230.0,5620.0,0.82,-1290.0,-20.70626003210273,Office & Administrative Support,62513400.0
15-1252,Software Developers,7680.0,1.07,139340.0,Software Developers,0.288,1687890,148100.0,Computer & Mathematical,2211.84,1070131200.0,7890.0,6990.0,1.12,-210.0,-2.661596958174905,Computer & Mathematical,29261400.0
13-1071,Human Resources Specialists,4540.0,1.17,83110.0,Human Resources Specialists,0.4034,912430,81990.0,Business & Financial,1831.436,377319400.0,4880.0,4950.0,1.28,-340.0,-6.967213114754099,Business & Financial,28257400.0
43-4171,Receptionists and Information Clerks,3550.0,0.92,36750.0,Receptionists and Information Clerks,0.4338,910180,39460.0,Office & Administrative Support,1539.99,130462500.0,4890.0,4200.0,1.14,-1340.0,-27.402862985685072,Office & Administrative Support,49245000.0
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4890.0,0.84,53580.0,"Bookkeeping, Accounting, and Auditing Clerks",0.3104,1373680,53560.0,Office & Administrative Support,1517.856,262006200.0,7170.0,6420.0,1.12,-2280.0,-31.799163179916317,Office & Administrative Support,122162400.0
41-3031,"Securities, Commodities, and Financial Services Sales Agents",2990.0,1.44,107070.0,"Securities, Commodities, and Financial Services Sales Agents",0.4413,489570,109150.0,Sales,1319.487,320139300.0,3010.0,2800.0,1.47,-20.0,-0.6644518272425249,Sales,2141400.0
41-1011,First-Line Supervisors of Retail Sales Workers,5000.0,1.05,54000.0,First-Line Supervisors of Retail Sales Workers,0.2627,1121800,53380.0,Sales,1313.5,270000000.0,5710.0,5000.0,1.23,-710.0,-12.43432574430823,Sales,38340000.0
15-1232,Computer User Support Specialists,2350.0,0.77,64990.0,Computer User Support Specialists,0.4685,717190,67330.0,Computer & Mathematical,1100.975,152726500.0,2690.0,2520.0,0.92,-340.0,-12.639405204460967,Computer & Mathematical,22096600.0
15-1211,Computer Systems Analysts,2990.0,1.35,113840.0,Computer Systems Analysts,0.2763,519530,114610.0,Computer & Mathematical,826.137,340381600.0,3160.0,2710.0,1.49,-170.0,-5.379746835443038,Computer & Mathematical,19352800.0
