occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
43-4051,Customer Service Representatives,10960.0,0.99,44520.0,Customer Service Representatives,0.7011,2595750,46590.0,Office & Administrative Support,7684.056,487939200.0
41-2031,Retail Salespersons,16210.0,0.98,35460.0,Retail Salespersons,0.3222,3897860,37310.0,Sales,5222.862,574806600.0
43-9061,"Office Clerks, General",10890.0,1.04,47700.0,"Office Clerks, General",0.4504,2464940,46420.0,Office & Administrative Support,4904.856000000001,519453000.0
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",5080.0,0.97,83320.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6279,1238190,82530.0,Sales,3189.732,423265600.0
13-1161,Market Research Analysts and Marketing Specialists,4550.0,1.19,96240.0,Market Research Analysts and Marketing Specialists,0.6483,899580,89490.0,Business & Financial,2949.765,437892000.0
13-2011,Accountants and Auditors,7920.0,1.29,93210.0,Accountants and Auditors,0.3478,1449500,94750.0,Business & Financial,2754.576,738223200.0
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4940.0,0.68,48460.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,1706790,49350.0,Office & Administrative Support,2236.832,239392400.0
15-1252,Software Developers,7680.0,1.07,139340.0,Software Developers,0.288,1687890,148100.0,Computer & Mathematical,2211.8399999999997,1070131200.0
11-1021,General and Operations Managers,15770.0,1.06,134880.0,General and Operations Managers,0.1378,3503020,134940.0,Management,2173.106,2127057600.0
13-1071,Human Resources Specialists,4540.0,1.17,83110.0,Human Resources Specialists,0.4034,912430,81990.0,Business & Financial,1831.436,377319400.0
13-1111,Management Analysts,6340.0,1.66,101350.0,Management Analysts,0.2435,898280,113790.0,Business & Financial,1543.79,642559000.0
43-4171,Receptionists and Information Clerks,3550.0,0.92,36750.0,Receptionists and Information Clerks,0.4338,910180,39460.0,Office & Administrative Support,1539.99,130462500.0
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4890.0,0.84,53580.0,"Bookkeeping, Accounting, and Auditing Clerks",0.3104,1373680,53560.0,Office & Administrative Support,1517.856,262006200.0
43-6013,Medical Secretaries and Administrative Assistants,4140.0,1.01,44230.0,Medical Secretaries and Administrative Assistants,0.3623,961610,46800.0,Office & Administrative Support,1499.922,183112200.0
11-3031,Financial Managers,3480.0,0.97,192080.0,Financial Managers,0.3907,841710,186910.0,Management,1359.636,668438400.0
41-3031,"Securities, Commodities, and Financial Services Sales Agents",2990.0,1.44,107070.0,"Securities, Commodities, and Financial Services Sales Agents",0.4413,489570,109150.0,Sales,1319.487,320139300.0
41-1011,First-Line Supervisors of Retail Sales Workers,5000.0,1.05,54000.0,First-Line Supervisors of Retail Sales Workers,0.2627,1121800,53380.0,Sales,1313.5,270000000.0
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",4420.0,0.98,66610.0,"Secondary School Teachers, Except Special and Career/Technical Education",0.2901,1065210,76320.0,Education & Library,1282.2420000000002,294416200.0
41-2011,Cashiers,14460.0,1.1,31910.0,Cashiers,0.0846,3089410,33180.0,Sales,1223.316,461418600.0
43-1011,First-Line Supervisors of Office and Administrative Support Workers,6490.0,1.06,70760.0,First-Line Supervisors of Office and Administrative Support Workers,0.1856,1436680,73490.0,Office & Administrative Support,1204.5439999999999,459232400.0
15-1232,Computer User Support Specialists,2350.0,0.77,64990.0,Computer User Support Specialists,0.4685,717190,67330.0,Computer & Mathematical,1100.9750000000001,152726500.0
13-1199,"Business Operations Specialists, All Other",5880.0,1.27,83780.0,"Business Operations Specialists, All Other",0.1846,1087090,93970.0,Business & Financial,1085.4479999999999,492626400.0
29-1141,Registered Nurses,15700.0,1.09,92010.0,Registered Nurses,0.0595,3379720,101420.0,Healthcare Practitioners,934.15,1444557000.0
13-2051,Financial and Investment Analysts,1630.0,1.06,113900.0,Financial and Investment Analysts,0.5716,361980,116800.0,Business & Financial,931.708,185657000.0
15-1211,Computer Systems Analysts,2990.0,1.35,113840.0,Computer Systems Analysts,0.2763,519530,114610.0,Computer & Mathematical,826.137,340381600.0
15-1212,Information Security Analysts,1690.0,2.09,126940.0,Information Security Analysts,0.4859,190650,132510.0,Computer & Mathematical,821.171,214528600.0
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2760.0,1.05,65160.0,"Middle School Teachers, Except Special and Career/Technical Education",0.2972,620090,72030.0,Education & Library,820.272,179841600.0
27-3031,Public Relations Specialists,1760.0,1.46,82880.0,Public Relations Specialists,0.453,283380,84120.0,"Arts, Design & Media",797.28,145868800.0
13-1151,Training and Development Specialists,2530.0,1.3,79200.0,Training and Development Specialists,0.2793,458300,75550.0,Business & Financial,706.629,200376000.0
41-3021,Insurance Sales Agents,2040.0,1.0,77940.0,Insurance Sales Agents,0.3188,479100,81480.0,Sales,650.352,158997600.0
23-1011,Lawyers,3780.0,1.18,173400.0,Lawyers,0.1673,754500,185840.0,Legal,632.394,655452000.0
23-2011,Paralegals and Legal Assistants,1930.0,1.15,67940.0,Paralegals and Legal Assistants,0.2927,392880,69700.0,Legal,564.9110000000001,131124200.0
15-1244,Network and Computer Systems Administrators,1660.0,1.24,103730.0,Network and Computer Systems Administrators,0.3373,314340,103680.0,Computer & Mathematical,559.918,172191800.0
25-2021,"Elementary School Teachers, Except Special Education",5270.0,0.89,63780.0,"Elementary School Teachers, Except Special Education",0.103,1388390,72650.0,Education & Library,542.81,336120600.0
41-2021,Counter and Rental Clerks,2610.0,1.53,50050.0,Counter and Rental Clerks,0.2048,400810,45700.0,Sales,534.528,130630500.0
29-2072,Medical Records Specialists,740.0,0.89,56530.0,Medical Records Specialists,0.6674,194720,56790.0,Healthcare Practitioners,493.876,41832200.0
15-2051,Data Scientists,1050.0,0.94,133460.0,Data Scientists,0.4605,262440,126800.0,Computer & Mathematical,483.52500000000003,140133000.0
43-6011,Executive Secretaries and Executive Administrative Assistants,2060.0,1.06,76170.0,Executive Secretaries and Executive Administrative Assistants,0.2336,459910,79140.0,Office & Administrative Support,481.216,156910200.0
13-2052,Personal Financial Advisors,1350.0,1.19,158910.0,Personal Financial Advisors,0.3504,266800,156670.0,Business & Financial,473.03999999999996,214528500.0
15-2031,Operations Research Analysts,1020.0,2.22,105800.0,Operations Research Analysts,0.4288,108510,99730.0,Computer & Mathematical,437.37600000000003,107916000.0
25-1071,"Health Specialties Teachers, Postsecondary",1430.0,1.53,130720.0,"Health Specialties Teachers, Postsecondary",0.3045,221270,147570.0,Education & Library,435.435,186929600.0
33-3051,Police and Sheriff's Patrol Officers,3410.0,1.2,69660.0,Police and Sheriff's Patrol Officers,0.1234,670520,79200.0,Protective Service,420.794,237540600.0
15-1299,"Computer Occupations, All Other",1280.0,0.69,111930.0,"Computer Occupations, All Other",0.3106,435370,122230.0,Computer & Mathematical,397.568,143270400.0
15-1253,Software Quality Assurance Analysts and Testers,720.0,0.9,111510.0,Software Quality Assurance Analysts and Testers,0.5195,186740,111490.0,Computer & Mathematical,374.03999999999996,80287200.0
13-1041,Compliance Officers,2910.0,1.64,81370.0,Compliance Officers,0.1211,417070,88400.0,Business & Financial,352.401,236786700.0
11-2021,Marketing Managers,1090.0,0.65,187800.0,Marketing Managers,0.3195,395240,177770.0,Management,348.255,204702000.0
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1470.0,1.62,113290.0,First-Line Supervisors of Non-Retail Sales Workers,0.2295,214390,99370.0,Sales,337.365,166536300.0
43-9021,Data Entry Keyers,480.0,0.89,41270.0,Data Entry Keyers,0.6707,127080,43310.0,Office & Administrative Support,321.936,19809600.0
25-9031,Instructional Coordinators,1050.0,1.09,81210.0,Instructional Coordinators,0.3043,227760,80920.0,Education & Library,319.51500000000004,85270500.0
43-3011,Bill and Account Collectors,1040.0,1.54,46640.0,Bill and Account Collectors,0.2989,158830,49060.0,Office & Administrative Support,310.856,48505600.0
43-3021,Billing and Posting Clerks,1610.0,0.94,49780.0,Billing and Posting Clerks,0.1924,404060,51070.0,Office & Administrative Support,309.76399999999995,80145800.0
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2980.0,1.14,83910.0,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.1015,617500,85220.0,Installation & Repair,302.47,250051800.0
11-3021,Computer and Information Systems Managers,1900.0,0.67,196760.0,Computer and Information Systems Managers,0.1559,670570,192160.0,Management,296.21000000000004,373844000.0
27-1024,Graphic Designers,760.0,0.9,70860.0,Graphic Designers,0.3672,197830,70560.0,"Arts, Design & Media",279.072,53853600.0
25-3041,Tutors,680.0,0.91,50580.0,Tutors,0.4077,175070,48050.0,Education & Library,277.236,34394400.0
13-2072,Loan Officers,1480.0,1.27,78940.0,Loan Officers,0.1857,274330,87790.0,Business & Financial,274.836,116831200.0
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1010.0,0.84,126060.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.2706,284800,119730.0,Sales,273.306,127320600.0
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,4590.0,0.88,46860.0,First-Line Supervisors of Food Preparation and Serving Workers,0.0564,1223240,46180.0,Food Preparation & Serving,258.876,215087400.0
15-1243,Database Architects,440.0,1.53,138240.0,Database Architects,0.5787,67140,144440.0,Computer & Mathematical,254.628,60825600.0
15-1251,Computer Programmers,310.0,0.79,111950.0,Computer Programmers,0.7451,92230,105170.0,Computer & Mathematical,230.981,34704500.0
43-9041,Insurance Claims and Policy Processing Clerks,1530.0,1.69,45800.0,Insurance Claims and Policy Processing Clerks,0.1467,214260,52920.0,Office & Administrative Support,224.451,70074000.0
13-1081,Logisticians,1340.0,1.25,94700.0,Logisticians,0.1571,251040,89730.0,Business & Financial,210.51399999999998,126898000.0
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",910.0,1.05,53210.0,"Dispatchers, Except Police, Fire, and Ambulance",0.2258,202810,54740.0,Office & Administrative Support,205.478,48421100.0
15-1242,Database Administrators,600.0,2.0,102460.0,Database Administrators,0.3315,69990,110090.0,Computer & Mathematical,198.9,61476000.0
13-2099,"Financial Specialists, All Other",870.0,1.55,86570.0,"Financial Specialists, All Other",0.2202,132130,93810.0,Business & Financial,191.574,75315900.0
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",470.0,1.23,53300.0,"Human Resources Assistants, Except Payroll and Timekeeping",0.4046,90220,52250.0,Office & Administrative Support,190.162,25051000.0
