vintage,soc_version,area_title,occ_code,occ_title,o_group,tot_emp,emp_prse,loc_quotient,a_mean,a_median,mean_prse,emp_suppressed,source_file
2010,SOC 2000,"Richmond, VA",00-0000,All Occupations,total,582040.0,0.7,1.0,44540.0,35220.0,1.0,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-0000,Management Occupations,major,26400.0,2.0,0.957,108350.0,95320.0,1.4,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-1011,Chief Executives,detailed,930.0,6.0,0.743,198730.0,,3.0,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-1021,General and Operations Managers,detailed,8550.0,3.0,1.093,113690.0,97860.0,1.8,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-1031,Legislators,detailed,60.0,16.0,0.19,35110.0,17690.0,18.7,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-2011,Advertising and Promotions Managers,detailed,80.0,18.6,0.536,106120.0,93590.0,7.7,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-2021,Marketing Managers,detailed,730.0,12.3,0.972,145500.0,132480.0,7.1,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-2022,Sales Managers,detailed,1450.0,11.7,0.988,110760.0,102370.0,3.0,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-2031,Public Relations and Fundraising Managers,detailed,220.0,10.2,0.88,105890.0,95720.0,5.7,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3011,Administrative Services Managers,detailed,810.0,6.3,0.732,84210.0,79870.0,2.6,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3021,Computer and Information Systems Managers,detailed,1410.0,5.4,1.069,122770.0,120690.0,1.6,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3031,Financial Managers,detailed,2360.0,5.3,1.074,116520.0,105980.0,2.9,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3051,Industrial Production Managers,detailed,380.0,13.7,0.584,107980.0,98620.0,4.2,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3061,Purchasing Managers,detailed,430.0,10.7,1.43,100310.0,95130.0,4.6,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,290.0,9.8,0.705,85700.0,77800.0,5.1,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3111,Compensation and Benefits Managers,detailed,180.0,15.7,1.312,94120.0,86130.0,4.3,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3121,Human Resources Managers,detailed,400.0,4.7,1.293,109270.0,99930.0,3.8,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-3131,Training and Development Managers,detailed,320.0,10.7,2.459,96200.0,84660.0,6.8,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9021,Construction Managers,detailed,1000.0,9.6,1.146,87550.0,73010.0,5.1,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,200.0,21.1,0.847,40930.0,38490.0,6.1,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,980.0,2.2,0.96,83150.0,82600.0,2.1,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9033,"Education Administrators, Postsecondary",detailed,440.0,4.6,0.861,96970.0,86470.0,4.3,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9039,"Education Administrators, All Other",detailed,180.0,9.9,1.375,87080.0,86270.0,3.9,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9041,Architectural and Engineering Managers,detailed,630.0,8.0,0.791,110220.0,104280.0,2.7,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9051,Food Service Managers,detailed,480.0,22.5,0.562,51460.0,48520.0,3.4,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9081,Lodging Managers,detailed,60.0,36.5,0.467,60990.0,51980.0,14.2,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9111,Medical and Health Services Managers,detailed,1230.0,5.5,0.947,98470.0,92250.0,2.6,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9121,Natural Sciences Managers,detailed,100.0,14.2,0.476,116110.0,103310.0,7.6,,MSA_M2010_dl_3.xls
2010,SOC 2000,"Richmond, VA",11-9131,Postmasters and Mail Superintendents,detailed,80.0,0.0,0.667,66270.0,65200.0,1.1,,MSA_M2010_dl_3.xls
