occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
11-1011,Chief Executives,840.0,0.93,0.0333,690.0,0.77,820.0,0.94,-2.380952380952381,11
11-1021,General and Operations Managers,13680.0,0.91,0.1378,14720.0,0.97,15770.0,1.06,15.277777777777779,11
11-2011,Advertising and Promotions Managers,60.0,0.68,0.1731,60.0,0.69,50.0,0.59,-16.666666666666668,11
11-2021,Marketing Managers,960.0,0.61,0.3195,1100.0,0.68,1090.0,0.65,13.541666666666666,11
11-2022,Sales Managers,1290.0,0.52,0.0433,1520.0,0.59,1320.0,0.49,2.3255813953488373,11
11-2032,Public Relations Managers,300.0,0.97,0.2315,370.0,1.15,380.0,1.2,26.666666666666668,11
11-3012,Administrative Services Managers,600.0,0.58,0.0,560.0,0.52,570.0,0.51,-5.0,11
11-3013,Facilities Managers,300.0,0.54,0.1345,390.0,0.65,440.0,0.66,46.666666666666664,11
11-3021,Computer and Information Systems Managers,2000.0,0.79,0.1559,1840.0,0.67,1900.0,0.67,-5.0,11
11-3031,Financial Managers,3100.0,0.92,0.3907,3410.0,0.98,3480.0,0.97,12.258064516129032,11
11-3051,Industrial Production Managers,490.0,0.52,0.0132,490.0,0.5,470.0,0.45,-4.081632653061225,11
11-3061,Purchasing Managers,450.0,1.37,0.2004,520.0,1.52,490.0,1.37,8.88888888888889,11
11-3071,"Transportation, Storage, and Distribution Managers",530.0,0.63,0.0956,560.0,0.62,630.0,0.67,18.867924528301888,11
11-3111,Compensation and Benefits Managers,100.0,1.22,0.0,120.0,1.39,130.0,1.36,30.0,11
11-3121,Human Resources Managers,840.0,0.98,0.0,910.0,0.99,960.0,1.02,14.285714285714286,11
11-3131,Training and Development Managers,200.0,1.14,0.3777,200.0,1.03,210.0,1.05,5.0,11
11-9021,Construction Managers,1220.0,0.87,0.1186,1230.0,0.83,1270.0,0.79,4.098360655737705,11
11-9031,"Education and Childcare Administrators, Preschool and Daycare",160.0,0.59,0.0395,260.0,0.84,220.0,0.72,37.5,11
11-9032,"Education Administrators, Kindergarten through Secondary",1190.0,0.92,0.0525,1160.0,0.86,1230.0,0.88,3.361344537815126,11
11-9033,"Education Administrators, Postsecondary",480.0,0.67,0.0644,500.0,0.67,540.0,0.7,12.5,11
