occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,chg,zone,adjacent,reference_wage
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2980.0,1.14,83910.0,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.1015,617500,85220.0,Installation & Repair,302.47,250051800.0,2850.0,130.0,3,False,46479.91786447639
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,4460.0,1.29,79030.0,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,812210,86450.0,Construction & Extraction,132.01600000000002,352473800.0,4260.0,200.0,3,False,46479.91786447639
47-4011,Construction and Building Inspectors,1140.0,1.83,75950.0,Construction and Building Inspectors,0.0481,146720,77730.0,Construction & Extraction,54.834,86583000.0,830.0,310.0,3,False,46479.91786447639
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2700.0,1.55,58490.0,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0191,409670,64780.0,Installation & Repair,51.57,157923000.0,2460.0,240.0,3,False,46479.91786447639
49-9041,Industrial Machinery Mechanics,1900.0,1.02,69110.0,Industrial Machinery Mechanics,0.0239,439640,68460.0,Installation & Repair,45.41,131309000.0,1790.0,110.0,3,False,46479.91786447639
47-2152,"Plumbers, Pipefitters, and Steamfitters",2340.0,1.18,60940.0,"Plumbers, Pipefitters, and Steamfitters",0.0116,465840,72170.0,Construction & Extraction,27.144,142599600.0,1940.0,400.0,3,False,46479.91786447639
49-2098,Security and Fire Alarm Systems Installers,500.0,1.37,59640.0,Security and Fire Alarm Systems Installers,0.0303,86340,60960.0,Installation & Repair,15.15,29820000.0,480.0,20.0,3,False,46479.91786447639
47-2111,Electricians,3600.0,1.12,62360.0,Electricians,0.0,757220,71490.0,Construction & Extraction,0.0,224496000.0,3430.0,170.0,3,False,46479.91786447639
47-2141,"Painters, Construction and Maintenance",1010.0,1.05,47810.0,"Painters, Construction and Maintenance",0.0,225190,55420.0,Construction & Extraction,0.0,48288100.0,940.0,70.0,2,False,46479.91786447639
47-2211,Sheet Metal Workers,610.0,1.2,52490.0,Sheet Metal Workers,0.0,119770,67850.0,Construction & Extraction,0.0,32018900.0,420.0,190.0,2,False,46479.91786447639
47-2031,Carpenters,3070.0,1.08,53520.0,Carpenters,0.0,670090,65630.0,Construction & Extraction,0.0,164306400.0,2580.0,490.0,2,False,46479.91786447639
49-3021,Automotive Body and Related Repairers,600.0,0.95,65560.0,Automotive Body and Related Repairers,0.0,149310,59690.0,Installation & Repair,0.0,39336000.0,550.0,50.0,2,False,46479.91786447639
49-3023,Automotive Service Technicians and Mechanics,2930.0,0.98,61160.0,Automotive Service Technicians and Mechanics,0.0,704640,56420.0,Installation & Repair,0.0,179198800.0,2800.0,130.0,3,False,46479.91786447639
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1400.0,1.14,61740.0,Bus and Truck Mechanics and Diesel Engine Specialists,0.0,289960,64320.0,Installation & Repair,0.0,86436000.0,1340.0,60.0,3,False,46479.91786447639
49-9099,"Installation, Maintenance, and Repair Workers, All Other",1000.0,1.34,48340.0,"Installation, Maintenance, and Repair Workers, All Other",0.0,176300,53850.0,Installation & Repair,0.0,48340000.0,580.0,420.0,2,False,46479.91786447639
49-9071,"Maintenance and Repair Workers, General",5520.0,0.85,52520.0,"Maintenance and Repair Workers, General",0.0,1529700,53780.0,Installation & Repair,0.0,289910400.0,5420.0,100.0,3,False,46479.91786447639
