screen_id,sentence,label,basis,url,retrieved,price_status,gate_visible,gate_unmeasured,review_by
43-4051 / header / scale,"About 10,960 people do this job in Greater Richmond.",REPORTED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060)",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / header / scale,"The average pay is $44,520 a year.",REPORTED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060)",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / header / scale,"That is an average across everyone doing this job here, so most people earn less than it.",MODELLED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060) — annual mean only; no median in the pinned slice",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / header / ai-use,People already use AI for a lot of the day-to-day work in this job.,REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / header / ai-use,"That describes how the work is done now, and it is not a prediction that the job goes away.",REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / routes / intro,7 other jobs on this map lead on from here.,MODELLED,"O*NET 29.0 Related Occupations, compared on published skill ratings",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / routes / intro,Each one pays more and uses AI less.,MODELLED,"O*NET 29.0 Related Occupations, compared on published skill ratings",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / pay,"Average pay $56,970 a year.",REPORTED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060)",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / pay,"That is $12,450 a year more than this job.",MODELLED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060) — difference between two occupational annual means",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / pay,How long: no set course length.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / pay,This job is rated as asking for about the same preparation as the one you are in.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / summary,No skill gap measured,MODELLED,O*NET 29.0 Skills — difference between two occupations' importance ratings,https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / summary,no course in this data names it,OPEN,"Pinned slice links no course to this destination. The generator carries 28 courses and attaches 14, so this is absence from the data and not from the region",,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / ai-use,People use AI for some of this work.,REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / ai-use,"That describes how the work is done now, not what happens to the job.",REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-1 / gate,Nothing here names a licence or a degree — this map compares skill ratings only and cannot see them.,MODELLED,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2026-08-15,no price,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2027-08-15
43-4051 / route-1 / gate,Ask the employer what they require.,MODELLED,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2026-08-15,no price,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2027-08-15
43-4051 / route-2 / pay,"Average pay $49,780 a year.",REPORTED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060)",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / pay,"That is $5,260 a year more than this job.",MODELLED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060) — difference between two occupational annual means",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / pay,How long: no set course length.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / pay,This job is rated one to two years further in preparation than the one you are in.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / different,What's different: working with numbers.,MODELLED,O*NET 29.0 Skills — difference between two occupations' importance ratings,https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / summary,1 skill to build,MODELLED,O*NET 29.0 Skills — difference between two occupations' importance ratings,https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / summary,no course in this data names it,OPEN,"Pinned slice links no course to this destination. The generator carries 28 courses and attaches 14, so this is absence from the data and not from the region",,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / summary,free study listed,MODELLED,"Free resources matched to skills by what each provider says it covers, not against the O*NET ratings",,2026-08-17,no price,none seen,,2027-08-17
43-4051 / route-2 / ai-use,People use AI for some of this work.,REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / ai-use,"That describes how the work is done now, not what happens to the job.",REPORTED,Anthropic Economic Index — observed share of conversations mapped to this occupation's tasks,https://www.anthropic.com/economic-index,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-2 / gate,Nothing here names a licence or a degree — this map compares skill ratings only and cannot see them.,MODELLED,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2026-08-15,no price,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2027-08-15
43-4051 / route-2 / gate,Ask the employer what they require.,MODELLED,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2026-08-15,no price,No licence or degree named for this destination. The map compares skill ratings only and cannot see either,,2027-08-15
43-4051 / route-2 / training,No short workforce course targets this.,MODELLED,Reynolds and Brightpoint for-credit mathematics; no short workforce course found targeting the O*NET Mathematics skill,,2026-08-17,not published,none seen,,2027-02-17
43-4051 / route-2 / training,"The honest local answer is for-credit mathematics at a community college, which financial aid and G3 can cover.",MODELLED,Reynolds and Brightpoint for-credit mathematics; no short workforce course found targeting the O*NET Mathematics skill,,2026-08-17,not published,none seen,,2027-02-17
43-4051 / route-2 / training-option,"For-credit mathematics — Reynolds or Brightpoint Community College · In-state tuition, financial aid eligible · Greater Richmond",REPORTED,Reynolds and Brightpoint for-credit tuition; financial aid eligibility per each college's published policy,,2026-08-17,not published,none seen,,2027-02-17
43-4051 / route-2 / free-study,"Mathematics, arithmetic through statistics — Khan Academy.",REPORTED,"Khan Academy mathematics curriculum, provider's own description",https://www.khanacademy.org/math,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study,"Free, no library card, no sign-up fee.",REPORTED,"Khan Academy mathematics curriculum, provider's own description",https://www.khanacademy.org/math,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study,"A full curriculum with practice problems, including “Get ready for” courses for brushing up rather than starting over.",REPORTED,"Khan Academy mathematics curriculum, provider's own description",https://www.khanacademy.org/math,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study,EBSCO Learning Express — Richmond Public Library.,REPORTED,"Richmond Public Library — EBSCO Learning Express, library's own listing",,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study,Free with a library card.,REPORTED,"Richmond Public Library — EBSCO Learning Express, library's own listing",,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study,"Maths, reading and writing tutorials, plus practice tests and skill-building exercises.",REPORTED,"Richmond Public Library — EBSCO Learning Express, library's own listing",,2026-08-17,published,none seen,,2027-02-17
43-4051 / route-2 / free-study-caveat,These are free and you can start today.,MODELLED,"Free resources matched to skills by what each provider says it covers, not against the O*NET ratings",,2026-08-17,no price,none seen,,2027-08-17
43-4051 / route-2 / free-study-caveat,"None of them is a credential an employer screens on, a certificate of completion is only a record that you finished, and none of them changes the requirement above.",MODELLED,"Free resources matched to skills by what each provider says it covers, not against the O*NET ratings",,2026-08-17,no price,none seen,,2027-08-17
43-4051 / route-2 / free-study-caveat,"They were matched to these skills by what the provider says they cover, not against the skill ratings.",MODELLED,"Free resources matched to skills by what each provider says it covers, not against the O*NET ratings",,2026-08-17,no price,none seen,,2027-08-17
43-4051 / route-3 / pay,"Average pay $70,760 a year.",REPORTED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060)",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / pay,"That is $26,240 a year more than this job.",MODELLED,"BLS Occupational Employment and Wage Statistics, May 2025, Richmond VA MSA (40060) — difference between two occupational annual means",https://www.bls.gov/oes/current/oes_40060.htm,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / pay,How long: no set course length.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / pay,This job is rated one to two years further in preparation than the one you are in.,MODELLED,"O*NET job zone difference between origin and destination — a comparison of rated preparation, not a course length",https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / different,"What's different: managing people, keeping track of how work is going, reading people well, working out how a system behaves and judging how well a system is working.",MODELLED,O*NET 29.0 Skills — difference between two occupations' importance ratings,https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / summary,5 skills to build,MODELLED,O*NET 29.0 Skills — difference between two occupations' importance ratings,https://www.onetcenter.org/database.html,2026-08-15,no price,none seen,,2027-08-15
43-4051 / route-3 / summary,no course in this data names it,OPEN,"Pinned slice links no course to this destination. The generator carries 28 courses and attaches 14, so this is absence from the data and not from the region",,2026-08-15,no price,none seen,,2027-08-15
